Concert ID,Date,Venue,City,State,Artists,Has Setlist
256,2006-03-25,Beacon Theatre,New York,NY,Allman Brothers Band (headliner),True
257,2006-04-06,Beacon Theatre,New York,NY,Bob Weir & Ratdog (headliner),True
258,2006-04-19,Madison Square Garden,New York,NY,Billy Joel (headliner),True
259,2006-04-20,Convention Hall,Asbury Park,NJ,"Bruce Springsteen (festival_performer), the Seeger Sessions Band (festival_performer)",False
26,1996-07-27,Madison Square Garden,New York,NY,"KISS (headliner), Dgeneration (opener)",False
260,2006-04-24,The Theater at Madison Square Garden,New York,NY,Van Morrison (headliner),True
261,2006-05-05,Radio City Music Hall,New York,NY,INXS (headliner),True
262,2006-06-03,Continental Airlines Arena,East Rutherford,NJ,"Pearl Jam (headliner), My Morning Jacket (opener)",True
263,2006-06-20,Madison Square Garden,New York,NY,"Tom Petty & the Heartbreakers (headliner), Trey Anastasio & Stevie Nicks (opener)",True
264,2006-06-22,Madison Square Garden,New York,NY,"Bruce Springsteen (festival_performer), the Seeger Sessions Band (festival_performer)",False
265,2006-06-25,PNC Bank Arts Center,Holmdel,NJ,"Bruce Springsteen (festival_performer), the Seeger Sessions Band (festival_performer)",False
266,2006-07-01,Jones Beach Theater,Wantagh,NY,"Jimmy Buffett (festival_performer), Coral Reefer Band (festival_performer)",False
267,2006-07-14,Radio City Music Hall,New York,NY,Bob Weir & Ratdog & String Cheese Incident (headliner),False
268,2006-07-18,Giants Stadium,East Rutherford,NJ,Bon Jovi (headliner),True
269,2006-07-20,Radio City Music Hall,New York,NY,"Ringo Starr & His All Starr Band (Billy Squier (festival_performer), Richard Marx (festival_performer), Rod Argent (festival_performer), Sheila E. & Edgar Winter) (festival_performer)",False
27,1996-08-03,Jones Beach Theater,Wantagh,NY,Hootie & the Blowfish & John Hiatt (headliner),False
270,2006-07-29,Caesars Palace,Las Vegas,NV,Elton John (headliner),True
271,2006-08-04,Jones Beach Theater,Wantagh,NY,"Counting Crows (festival_performer), Goo Goo Dolls (festival_performer)",True
272,2006-08-11,Jones Beach Theater,Wantagh,NY,"John Fogerty (festival_performer), Willie Nelson (festival_performer)",True
273,2006-08-12,The Meadowlands,East Rutherford,NJ,Tom Petty & the Heartbreakers & Allman Brothers Band (headliner),False
274,2006-08-17,Jones Beach Theater,Wantagh,NY,"Steely Dan (festival_performer), Michael McDonald (festival_performer)",True
275,2006-08-20,PNC Bank Arts Center,Holmdel,NJ,"Crosby (festival_performer), Stills (festival_performer), Nash & Young (festival_performer)",True
276,2006-09-12,Madison Square Garden,New York,NY,Roger Waters (headliner),True
277,2006-09-14,Madison Square Garden,New York,NY,"Jimmy Buffett (festival_performer), Coral Reefer Band (festival_performer)",False
278,2006-09-18,Madison Square Garden,New York,NY,The Who (headliner),True
